Merchant Id,Transaction Type,Merchant Order Id,Merchant Reference Id,PhonePe Reference Id,PhonePe Transaction Reference Id,PhonePe Attempt Reference Id,Transaction UTR,Total Transaction Amount,Transaction Date,Transaction Status,UPI Amount,Wallet Amount,Credit card Amount,Debit card Amount,External Wallet Amount,EGV Amount,Store Id,Terminal Id,Store Name,Terminal Name,Error Code,Detailed Error Code,Error Description,Error Source,Error Stage
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769748235994,ORDER_1769748235994,OMO2601301013562279469532W,OMO2601301013562279469532W,ORDER_1769748235994,502353483325,300.0,2026-01-30 10:14:05,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769747932607,ORDER_1769747932607,OMO2601301008528216685692W,OMO2601301008528216685692W,ORDER_1769747932607,097667304749,300.0,2026-01-30 10:12:31,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769748061777,ORDER_1769748061777,OMO2601301011019699693815W,OMO2601301011019699693815W,ORDER_1769748061777,464592142710,300.0,2026-01-30 10:11:18,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769748050299,ORDER_1769748050299,OMO2601301010505139469405W,OMO2601301010505139469405W,ORDER_1769748050299,500958445953,300.0,2026-01-30 10:11:15,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769748020626,ORDER_1769748020626,OMO2601301010208769693607W,OMO2601301010208769693607W,ORDER_1769748020626,748065932774,300.0,2026-01-30 10:10:31,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769747619413,ORDER_1769747619413,OMO2601301003396488913589W,OMO2601301003396488913589W,ORDER_1769747619413,739295554868,300.0,2026-01-30 10:03:54,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769747516173,ORDER_1769747516173,OMO2601301001564283005407W,OMO2601301001564283005407W,ORDER_1769747516173,396358447266,300.0,2026-01-30 10:02:21,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769747462376,ORDER_1769747462376,OMO2601301001025920647937W,OMO2601301001025920647937W,ORDER_1769747462376,559333475802,300.0,2026-01-30 10:01:28,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769747358471,ORDER_1769747358471,OMO2601300959187229469071W,OMO2601300959187229469071W,ORDER_1769747358471,480357875478,300.0,2026-01-30 09:59:34,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769747318736,ORDER_1769747318736,OMO2601300958389402430243W,OMO2601300958389402430243W,ORDER_1769747318736,719718443199,300.0,2026-01-30 09:59:01,COMPLETED,300.0,,,,,,,,,,,,,,
